feature,dtype,definition,information_timing,decision,justification
inq_last_6mths,float64,Number of credit enquiries during the previous six months.,Pre-origination / credit bureau,Keep,Recent credit enquiry activity is observable before origination and may indicate credit-seeking behaviour.
mths_since_last_delinq,float64,Number of months since the borrower's most recent delinquency.,Pre-origination / credit bureau,Keep,Historical delinquency recency is available from the credit report before the new loan outcome.
mths_since_last_record,float64,Number of months since the borrower's most recent public record.,Pre-origination / credit bureau,Keep,Historical public-record information is available before loan origination.
open_acc,float64,Number of open credit lines in the borrower's credit file.,Pre-origination / credit bureau,Keep,Current open-account information is available during underwriting.
pub_rec,float64,Number of derogatory public records.,Pre-origination / credit bureau,Keep,Existing derogatory public records are observable before the loan decision and may provide legitimate risk information.
revol_bal,float64,Total revolving credit balance.,Pre-origination / credit bureau,Keep,Existing revolving debt is observable before origination and provides information about borrower indebtedness.
revol_util,float64,"Revolving line utilisation rate, representing the amount of credit being used relative to available revolving credit.",Pre-origination / credit bureau,Keep,Credit utilisation is observable during underwriting and is a meaningful indicator of existing credit usage.
total_acc,float64,Total number of credit lines currently in the borrower's credit file.,Pre-origination / credit bureau,Keep,Represents the borrower's existing credit history and is available before loan performance is observed.
initial_list_status,object,Initial listing status of the loan.,Origination / platform-generated,Remove,This is LendingClub platform metadata rather than a direct borrower-risk characteristic. Its relevance and timing should be assessed before inclusion.
out_prncp,float64,Remaining outstanding principal for the total amount funded.,Post-origination / repayment,Remove,Outstanding principal is only observed after the loan has been issued and repayments have begun. It directly reflects subsequent loan performance.
out_prncp_inv,float64,Remaining outstanding principal for the portion of the loan funded by investors.,Post-origination / repayment,Remove,Represents the remaining investor principal after origination and therefore contains future repayment information.
total_pymnt,float64,Total payments received to date for the funded amount.,Post-origination / repayment,Remove,Total payments are only known after repayment begins and strongly reveal whether a loan is performing.
total_pymnt_inv,float64,Total payments received to date for the investor-funded portion of the loan.,Post-origination / repayment,Remove,Contains realised repayment information unavailable at the underwriting stage.
total_rec_prncp,float64,Principal amount received to date.,Post-origination / repayment,Remove,Represents realised repayment behaviour and therefore directly leaks information about the outcome.
total_rec_int,float64,Interest received to date.,Post-origination / repayment,Remove,Interest received is generated only after loan repayment begins.
total_rec_late_fee,float64,Late fees received to date.,Post-origination / repayment,Remove,Late-fee information directly indicates subsequent delinquency behaviour and therefore constitutes severe target leakage.
recoveries,float64,Post-charge-off gross recovery amount.,Post-default / recovery,Remove,Recovery information is generated only after severe default or charge-off and therefore directly reveals the target outcome.
collection_recovery_fee,float64,Collection fee associated with post-charge-off recovery.,Post-default / recovery,Remove,Only exists after collection or recovery activity and therefore represents direct outcome leakage.
last_pymnt_d,object,Month in which the most recent payment was received.,Post-origination / repayment,Remove,The most recent payment date occurs after loan issuance and provides direct information about repayment behaviour.
last_pymnt_amnt,float64,Most recent total payment amount received.,Post-origination / repayment,Remove,Payment amount is observed only after origination and therefore cannot be used for application-time risk prediction.
next_pymnt_d,object,Next scheduled payment date.,Post-origination / servicing,Remove,Represents servicing information generated after the loan has been issued.
last_credit_pull_d,object,Most recent month in which LendingClub obtained the borrower's credit information.,Potentially post-origination / monitoring,Remove,The latest credit pull may occur after loan origination and therefore does not reliably represent information available at the initial lending decision.
last_fico_range_high,float64,Upper boundary of the borrower's most recently observed FICO score range.,Post-origination / monitoring,Remove,Represents an updated FICO score observed after origination and therefore contains future borrower information.
last_fico_range_low,float64,Lower boundary of the borrower's most recently observed FICO score range.,Post-origination / monitoring,Remove,Represents an updated FICO score observed after origination and therefore constitutes future information.
collections_12_mths_ex_med,float64,"Number of collections recorded during the previous 12 months, excluding medical collections.",Pre-origination / credit bureau,Keep,Historical collection activity is observable before the new loan outcome and may provide legitimate credit-risk information.
mths_since_last_major_derog,float64,Number of months since the borrower's most recent major derogatory credit event.,Pre-origination / credit bureau,Keep,Represents historical adverse credit behaviour available during underwriting.
policy_code,float64,Publicly available policy-code indicator associated with the loan.,Platform / administrative,Remove,This is LendingClub policy metadata rather than a borrower-risk characteristic. Its distribution and informational value should be examined before final exclusion.
application_type,object,Indicates whether the loan application is individual or joint.,Application / application structure,Keep,Application type is known during underwriting and is required to correctly interpret joint-applicant variables.
annual_inc_joint,float64,Combined self-reported annual income of the co-borrowers for a joint application.,Application / joint borrower-provided,Remove,Available at application for joint loans and provides relevant information about combined repayment capacity.
dti_joint,float64,Debt-to-income ratio calculated using the combined monthly debt payments and income of joint applicants.,Application / joint financial,Remove,Represents joint-applicant indebtedness available during underwriting.
verification_status_joint,object,Indicates the income-verification status for a joint application.,Underwriting / joint application,Remove,Joint income verification information is established during underwriting before loan performance is observed.
acc_now_delinq,float64,Number of accounts on which the borrower is currently delinquent.,Pre-origination / credit bureau,Keep,Current delinquency status from the credit file is available during underwriting and is directly relevant to credit risk.
tot_coll_amt,float64,Total collection amounts recorded in the borrower's credit file.,Pre-origination / credit bureau,Keep,Existing collection balances are historical credit information available before the new loan outcome.
tot_cur_bal,float64,Total current balance across the borrower's accounts.,Pre-origination / credit bureau,Keep,Existing account balances are observable from the credit report during underwriting.
open_acc_6m,float64,Number of open credit accounts opened during the previous six months.,Pre-origination / credit bureau,Remove,Recent account-opening activity is available before origination and may capture recent credit-seeking behaviour.
open_act_il,float64,Number of currently active installment accounts.,Pre-origination / credit bureau,Remove,Existing active installment obligations are available during underwriting.
open_il_12m,float64,Number of installment accounts opened during the previous 12 months.,Pre-origination / credit bureau,Remove,Recent installment-credit activity is observable before the new loan is originated.
open_il_24m,float64,Number of installment accounts opened during the previous 24 months.,Pre-origination / credit bureau,Remove,Historical installment-account opening activity is available during underwriting.
mths_since_rcnt_il,float64,Number of months since the most recent installment account was opened.,Pre-origination / credit bureau,Remove,The recency of installment-credit activity is known from the credit report before loan performance occurs.
total_bal_il,float64,Total current balance of installment accounts.,Pre-origination / credit bureau,Remove,Existing installment debt is available during underwriting and represents current borrower indebtedness.
il_util,float64,Installment-account utilisation ratio.,Pre-origination / credit bureau,Remove,Existing installment-credit utilisation is observable before origination.
open_rv_12m,float64,Number of revolving accounts opened during the previous 12 months.,Pre-origination / credit bureau,Remove,Recent revolving-credit activity is observable from the credit report before the lending outcome.
open_rv_24m,float64,Number of revolving accounts opened during the previous 24 months.,Pre-origination / credit bureau,Remove,Historical revolving-account opening activity is available during underwriting.
max_bal_bc,float64,Maximum current balance owed on bankcard accounts.,Pre-origination / credit bureau,Remove,Existing bankcard balance information is available from the borrower's credit file.
all_util,float64,Balance-to-credit-limit utilisation across credit accounts.,Pre-origination / credit bureau,Remove,Existing credit utilisation is observable during underwriting and may indicate borrower leverage.
total_rev_hi_lim,float64,Total revolving high-credit or credit-limit amount.,Pre-origination / credit bureau,Keep,Existing revolving credit limits are available from the credit report before origination.
inq_fi,float64,Number of personal-finance credit enquiries.,Pre-origination / credit bureau,Remove,Historical finance enquiries are observable before loan origination and may indicate recent credit-seeking behaviour.
total_cu_tl,float64,Number of finance-related credit accounts.,Pre-origination / credit bureau,Remove,Existing finance-account history is available during underwriting.
inq_last_12m,float64,Number of credit enquiries during the previous 12 months.,Pre-origination / credit bureau,Remove,Recent enquiry activity is known before origination and may indicate increased demand for credit.
acc_open_past_24mths,float64,Number of credit accounts opened during the past 24 months.,Pre-origination / credit bureau,Keep,Historical account-opening activity is observable before loan origination.
avg_cur_bal,float64,Average current balance across credit accounts.,Pre-origination / credit bureau,Keep,Existing account balances are observable during underwriting.
bc_open_to_buy,float64,Total available credit on revolving bankcard accounts.,Pre-origination / credit bureau,Keep,Available bankcard credit is part of the borrower's existing credit position.
bc_util,float64,Ratio of current bankcard balances to bankcard credit limits.,Pre-origination / credit bureau,Keep,Bankcard utilisation is observable before origination and may indicate credit pressure.
chargeoff_within_12_mths,float64,Number of charge-offs recorded during the previous 12 months.,Pre-origination / credit bureau,Keep,"This describes historical charge-offs occurring before the LendingClub loan, rather than the outcome of the loan being predicted."
delinq_amnt,float64,Amount currently past due on delinquent accounts.,Pre-origination / credit bureau,Keep,Existing delinquent debt is observable during underwriting.
mo_sin_old_il_acct,float64,Number of months since the oldest installment account was opened.,Pre-origination / credit bureau,Keep,Represents historical installment-credit age available before origination.
mo_sin_old_rev_tl_op,float64,Number of months since the oldest revolving account was opened.,Pre-origination / credit bureau,Keep,Represents the age of the borrower's revolving-credit history.
mo_sin_rcnt_rev_tl_op,float64,Number of months since the most recent revolving account was opened.,Pre-origination / credit bureau,Keep,Recent revolving-account activity is observable from the credit report.
mo_sin_rcnt_tl,float64,Number of months since the most recent credit account was opened.,Pre-origination / credit bureau,Keep,Recent account-opening activity is known before loan origination.
mort_acc,float64,Number of mortgage accounts.,Pre-origination / credit bureau,Keep,Mortgage-account history is observable from the borrower's credit report.
mths_since_recent_bc,float64,Number of months since the most recent bankcard account was opened.,Pre-origination / credit bureau,Keep,Bankcard account recency is observable before origination.
mths_since_recent_bc_dlq,float64,Number of months since the most recent bankcard delinquency.,Pre-origination / credit bureau,Keep,Historical bankcard delinquency is available before the LendingClub loan outcome.
mths_since_recent_inq,float64,Number of months since the most recent credit enquiry.,Pre-origination / credit bureau,Keep,Credit-enquiry recency is known at underwriting.
mths_since_recent_revol_delinq,float64,Number of months since the most recent revolving-credit delinquency.,Pre-origination / credit bureau,Keep,Historical revolving delinquency is observable before origination.
num_accts_ever_120_pd,float64,Number of accounts that have ever been 120 or more days past due.,Pre-origination / credit bureau,Keep,Represents historical severe delinquency before the new loan.
num_actv_bc_tl,float64,Number of currently active bankcard accounts.,Pre-origination / credit bureau,Keep,Current bankcard activity is observable during underwriting.
num_actv_rev_tl,float64,Number of currently active revolving accounts.,Pre-origination / credit bureau,Keep,Current revolving-credit activity is available before origination.
num_bc_sats,float64,Number of satisfactory bankcard accounts.,Pre-origination / credit bureau,Keep,Existing bankcard account status is available from the credit report.
num_bc_tl,float64,Number of bankcard accounts.,Pre-origination / credit bureau,Keep,Bankcard-account history exists before the new loan outcome.
num_il_tl,float64,Number of installment accounts.,Pre-origination / credit bureau,Keep,Installment-account history is observable during underwriting.
num_op_rev_tl,float64,Number of open revolving accounts.,Pre-origination / credit bureau,Keep,Open revolving accounts are part of the borrower's existing credit profile.
num_rev_accts,float64,Number of revolving accounts in the borrower's credit history.,Pre-origination / credit bureau,Keep,Revolving-account history is observable before loan origination.
num_rev_tl_bal_gt_0,float64,Number of revolving accounts with a balance greater than zero.,Pre-origination / credit bureau,Keep,Existing revolving balances are available during underwriting.
num_sats,float64,Number of satisfactory credit accounts.,Pre-origination / credit bureau,Remove,Existing account status is observable before the LendingClub loan outcome.
num_tl_120dpd_2m,float64,"Number of accounts currently 120 or more days past due, updated within the previous two months.",Pre-origination / credit bureau,Keep,Current severe delinquency in existing accounts is available from the credit report at underwriting.
num_tl_30dpd,float64,Number of accounts currently 30 days past due.,Pre-origination / credit bureau,Keep,Current delinquency on existing credit accounts is observable before origination.
num_tl_90g_dpd_24m,float64,Number of accounts 90 or more days past due during the previous 24 months.,Pre-origination / credit bureau,Keep,Historical severe delinquency is known before the new loan is issued.
num_tl_op_past_12m,float64,Number of credit accounts opened during the previous 12 months.,Pre-origination / credit bureau,Keep,Recent account-opening activity is observable at underwriting.
pct_tl_nvr_dlq,float64,Percentage of credit accounts that have never been delinquent.,Pre-origination / credit bureau,Keep,Summarises historical repayment behaviour on existing accounts before origination.
percent_bc_gt_75,float64,Percentage of bankcard accounts with utilisation greater than 75 percent.,Pre-origination / credit bureau,Keep,High utilisation of existing bankcards is observable during underwriting.
pub_rec_bankruptcies,float64,Number of public-record bankruptcies.,Pre-origination / credit bureau,Keep,Existing bankruptcy records are known before the loan decision.
tax_liens,float64,Number of tax liens.,Pre-origination / credit bureau,Keep,Existing tax liens are observable from the credit record before origination.
tot_hi_cred_lim,float64,Total high-credit or credit-limit amount across accounts.,Pre-origination / credit bureau,Keep,Existing total credit limits are available during underwriting.
total_bal_ex_mort,float64,Total credit balance excluding mortgage balances.,Pre-origination / credit bureau,Keep,Existing non-mortgage debt is observable before origination.
total_bc_limit,float64,Total bankcard credit limit.,Pre-origination / credit bureau,Keep,Existing bankcard limits are available from the credit report.
total_il_high_credit_limit,float64,Total high-credit or credit-limit amount for installment accounts.,Pre-origination / credit bureau,Keep,Existing installment-credit limits are observable during underwriting.
revol_bal_joint,float64,Combined revolving credit balance for joint applicants.,Application / joint credit bureau,Remove,Available for joint applications before loan performance is observed and relevant to combined indebtedness.
sec_app_fico_range_low,float64,Lower boundary of the secondary applicant's FICO score range.,Application / secondary-applicant credit bureau,Remove,Secondary-applicant FICO information is available during underwriting for joint applications.
sec_app_fico_range_high,float64,Upper boundary of the secondary applicant's FICO score range.,Application / secondary-applicant credit bureau,Remove,Secondary-applicant FICO information is available during underwriting for joint applications.
sec_app_earliest_cr_line,object,Date of the secondary applicant's earliest reported credit line.,Application / secondary-applicant credit bureau,Remove,Credit-history age of the secondary applicant is observable before loan origination.
sec_app_inq_last_6mths,float64,Number of credit enquiries for the secondary applicant during the previous six months.,Application / secondary-applicant credit bureau,Remove,Recent enquiry activity is available during underwriting.
sec_app_mort_acc,float64,Number of mortgage accounts belonging to the secondary applicant.,Application / secondary-applicant credit bureau,Remove,Mortgage-account history is observable during underwriting.
sec_app_open_acc,float64,Number of open accounts belonging to the secondary applicant.,Application / secondary-applicant credit bureau,Remove,Open-account information is available at underwriting.
sec_app_revol_util,float64,Revolving credit utilisation of the secondary applicant.,Application / secondary-applicant credit bureau,Remove,Existing utilisation is observable before loan performance.
sec_app_open_act_il,float64,Number of active installment accounts belonging to the secondary applicant.,Application / secondary-applicant credit bureau,Remove,Current installment-account activity is available during underwriting.
sec_app_num_rev_accts,float64,Number of revolving accounts belonging to the secondary applicant.,Application / secondary-applicant credit bureau,Remove,Revolving-account history is observable before origination.
sec_app_chargeoff_within_12_mths,float64,Number of secondary-applicant charge-offs during the previous 12 months.,Application / secondary-applicant credit bureau,Remove,Represents historical adverse credit behaviour prior to the new loan.
sec_app_collections_12_mths_ex_med,float64,"Number of secondary-applicant collections during the previous 12 months, excluding medical collections.",Application / secondary-applicant credit bureau,Remove,Historical collection activity is available during underwriting.
sec_app_mths_since_last_major_derog,float64,Number of months since the secondary applicant's most recent major derogatory credit event.,Application / secondary-applicant credit bureau,Remove,Historical derogatory-credit information is available before loan origination.
hardship_flag,object,Indicates whether the borrower is currently enrolled in a hardship programme.,Post-origination / servicing,Remove,Hardship enrolment occurs after origination and directly signals subsequent borrower financial distress.
hardship_type,object,Type of hardship programme associated with the loan.,Post-origination / servicing,Remove,Hardship programme information is generated after origination and may reveal repayment difficulty.
hardship_reason,object,Reason recorded for the borrower's hardship arrangement.,Post-origination / servicing,Remove,The reason for hardship is observed after origination and contains future information about borrower distress.
hardship_status,object,Status of the hardship arrangement.,Post-origination / servicing,Remove,Hardship status reflects post-origination servicing activity.
deferral_term,float64,Length of the payment deferral associated with the hardship arrangement.,Post-origination / servicing,Remove,Payment deferral terms arise after a hardship event and are unavailable at the original lending decision.
hardship_amount,float64,Payment amount associated with the hardship arrangement.,Post-origination / servicing,Remove,The hardship payment amount is determined after origination and reflects subsequent servicing activity.
hardship_start_date,object,Start date of the hardship arrangement.,Post-origination / servicing,Remove,The hardship start date occurs after loan origination and therefore represents future information.
hardship_end_date,object,End date of the hardship arrangement.,Post-origination / servicing,Remove,The hardship end date is generated after origination and cannot be known at application time.
payment_plan_start_date,object,Date on which the hardship-related payment plan begins.,Post-origination / servicing,Remove,This date reflects a subsequent loan-servicing intervention.
hardship_length,float64,Length of the hardship arrangement.,Post-origination / servicing,Remove,Hardship duration is determined only after the loan has entered a hardship programme.
hardship_dpd,float64,Days past due associated with the hardship record.,Post-origination / delinquency,Remove,Days-past-due information directly reflects subsequent repayment difficulty and therefore constitutes target leakage.
hardship_loan_status,object,Loan status associated with the hardship period.,Post-origination / loan outcome,Remove,The variable contains post-origination loan-performance information closely related to the prediction target.
orig_projected_additional_accrued_interest,float64,Projected additional interest expected to accrue under the hardship arrangement.,Post-origination / servicing,Remove,This value is calculated only after a hardship arrangement exists and therefore contains future servicing information.
hardship_payoff_balance_amount,float64,Loan payoff balance associated with the hardship arrangement.,Post-origination / servicing,Remove,The payoff balance is determined after origination and reflects subsequent loan performance.
hardship_last_payment_amount,float64,Most recent payment amount associated with the hardship record.,Post-origination / repayment,Remove,The variable records realised payment behaviour occurring after origination.
disbursement_method,object,Method by which the loan proceeds were disbursed.,Origination / loan administration,Remove,"The variable is associated with loan origination rather than future repayment behaviour, but it is an administrative characteristic rather than a direct borrower-risk attribute. Its suitability should therefore be reviewed before modelling."
debt_settlement_flag,object,Indicates whether the borrower has entered into a debt-settlement arrangement.,Post-origination / debt settlement,Remove,Debt-settlement participation occurs after repayment difficulty has emerged and therefore contains future outcome information.
debt_settlement_flag_date,object,Date associated with the debt-settlement flag.,Post-origination / debt settlement,Remove,The date is generated after origination when a debt-settlement arrangement is established.
settlement_status,object,Status of the borrower's debt-settlement arrangement.,Post-origination / debt settlement,Remove,Settlement status reflects subsequent servicing and borrower repayment difficulty.
settlement_date,object,Date on which the debt-settlement arrangement was established.,Post-origination / debt settlement,Remove,The settlement date occurs after loan origination and therefore cannot be available at the original lending decision.
settlement_amount,float64,Amount associated with the debt-settlement arrangement.,Post-origination / debt settlement,Remove,The settlement amount is determined after repayment difficulties arise and directly reflects subsequent loan servicing.
settlement_percentage,float64,Settlement amount expressed relative to the outstanding loan balance.,Post-origination / debt settlement,Remove,This variable is calculated from a post-origination settlement arrangement and therefore contains future information.
settlement_term,float64,Number of months associated with the debt-settlement arrangement.,Post-origination / debt settlement,Remove,Settlement terms are established only after repayment difficulties have occurred.
